title,link,summary,keywords
Development of otolith receptors in Japanese quail.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2910419/,"The present study describes the development of otolith receptors in Japanese quail, including epithelial growth, hair cell density, stereocilia polarization, and afferent nerve innervation.",otolith receptors; Japanese quail; development; hair cells; stereocilia; afferent nerve innervation; epithelial growth.
Spatial and temporal characteristics of vestibular convergence,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3166430/,"In pigeons, semicircular canal and otolith organ afferents converge on brainstem neurons, but their spatial and temporal relationships and contributions to vestibular behaviors are not well understood. This study used discrete motion stimuli to analyze canal- and otolith-driven response components of convergent non-eye movement neurons in the vestibular nuclear complex. The results showed that convergent canal signals had similar gain and phase ranges but greater spatial variability, while convergent otolith signals were spatially well-matched with corresponding canal signals. However, a simple combination of these components did not accurately predict net responses during combined stimulation.",vestibular system; convergence; semicircular canals; otolith organs; neural responses; pigeons; brainstem; motion stimuli; neural signals; spatial relationships; temporal relationships
Bone remodeling is regulated by inner ear vestibular signals,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6615562/,"CaV1.2 channel regulates OPG expression in ear bones, affecting bone remodeling and hearing function.",CaV1.2; OPG; bone remodeling; otosclerosis; hearing loss; vestibular functions; osteoclasts; osteoblasts; bone modeling/remodeling.
Simulated Microgravity Enhances Oligodendrocyte Mitochondrial Function and Lipid Metabolism,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7324008/,"Simulated microgravity enhances oligodendrocyte mitochondrial function and lipid metabolism, leading to increased mitochondrial respiration, glycolysis, Krebs cycle flux, and fatty acid synthesis.",simulated microgravity; oligodendrocytes; mitochondrial function; lipid metabolism; mitochondrial respiration; glycolysis; Krebs cycle; fatty acids; complex lipids; myelin; developmental biology; clinical applications.
Human Neural Stem Cells Flown into Space Proliferate and Generate Young Neurons,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8412175/,"Human neural stem cells in space proliferate, express specific markers, and generate immature neurons with increased energy requirements.",human neural stem cells; space; proliferation; neurons; energy requirements; spaceflight; markers; immature neurons
Delayed Maturation of Oligodendrocyte Progenitors by Microgravity: Implications for Multiple Sclerosis and Space Flight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10607959/,"Microgravity delays maturation of oligodendrocyte progenitors, potentially impacting multiple sclerosis and space travel.",microgravity; oligodendrocyte progenitors; multiple sclerosis; space travel; maturation.
Space Microgravity Alters Neural Stem Cell Division: Implications for Brain Cancer Research on Earth and in Space,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9699585/,"Space microgravity alters neural stem cell division, leading to abnormal cell division and potential carcinogenic susceptibility.",neural stem cells; microgravity; space travel; health; abnormal cell division; carcinogenic susceptibility; central nervous system; learning; preventive measures.
Oligodendrocyte Progenitors Display Enhanced Proliferation and Autophagy after Space Flight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9953055/,"Space flight increases oligodendrocyte progenitor cell division and autophagic death, with HSP-90 and SPARC as key proteins involved.",oligodendrocyte progenitors; space flight; intracranial hypertension; visual impairment; cell division; autophagy; HSP-90; SPARC
Metabolomics profile of the secretome of space-flown oligodendrocytes.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10528075/,"Spaceflight alters the metabolomics profile of oligodendrocyte progenitors, increasing glutamate and energy metabolism, mitochondrial respiration, and glycolysis.",microgravity; oligodendrocyte progenitors; metabolomics; central nervous system; glutamate; energy metabolism; mitochondrial respiration; glycolysis; spaceflight; long-term space missions; therapeutic intervention.
Metabolomic profiling of the secretome from human neural stem cells flown into space.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10813126/,Spaceflight increases neural stem cells' energy demands and metabolic changes.,neural stem cells; microgravity; spaceflight; metabolome; glycolysis; pyruvate; glycerate; branched-chain amino acids; glutamine; NADH; polyamine spermidine
"Strategies, research priorities, and challenges for the exploration of space beyond low-Earth orbit",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10390562/,"Space exploration is shifting from low Earth orbit to distant destinations like the Moon and Mars. Research is needed to understand human behavior and performance in altered gravity. Key challenges include neurobehavioral effects, considering sex as a variable, using omics technologies, understanding neural representation of gravity, and developing countermeasures. Collaborative strategies are essential for an integrative approach from cells to cognitive performance.",space exploration; altered gravity; human behavior; performance; neurobehavioral challenges; sex as a variable; omics technologies; neural representation of gravity; countermeasures; collaboration; cells; molecules; neural circuits; cognitive performance.
The effect of spaceflight on the gravity-sensing auxin gradient of roots: GFP reporter gene microscopy on orbit.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5515520/,"Spaceflight does not affect the establishment of auxin gradients in primary roots, but may influence cytokinin-related root growth processes.",spaceflight; gravity; auxin; cytokinin; roots; Arabidopsis thaliana; microgravity; GFP reporter gene; International Space Station (ISS)
Genetic dissection of the Arabidopsis spaceflight transcriptome: Are some responses dispensable for the physiological adaptation of plants to spaceflight?,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5491145/,"Experiments on the International Space Station reveal that different plant genotypes adapt differently to spaceflight, and that altering gene activity can improve adaptation by reducing transcriptome costs. In the dark, the WS genotype shows a larger transcriptome response.",International Space Station; plants; genetics; transcriptome; spaceflight; adaptation; gene activity; light environment; genotypes.
Phenotypic characterization of an Arabidopsis T- DNA insertion line SALK_063500,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5996828/,"A T-DNA insertion in Arabidopsis line SALK_063500 disrupts the AT1G05290 gene, causing reduced pollen tube germination and an aberrant silique phenotype.",Arabidopsis; T-DNA; gene disruption; pollen tube germination; phenotype.
Utilization of single‚Äêimage normalized difference vegetation index (SI‚ÄêNDVI) for early plant stress detection,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6201722/,The single-image normalized difference vegetation index (SI-NDVI) is an imaging system that can detect plant stress earlier than visual detection using spectral reflectance patterns. It was effective in detecting stress in Arabidopsis thaliana and Eruca sativa plants within minutes of application.,single-image normalized difference vegetation index (SI-NDVI); plant stress; spectral reflectance; Arabidopsis thaliana; Eruca sativa; imaging system; controlled conditions; stress detection; false color images; quantitative graphs; cost efficient.
Comparing RNA-Seq and microarray gene expression data in two zones of the Arabidopsis root apex relevant to spaceflight.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6240453/,"This study compared RNA-Seq and microarray techniques for analyzing gene expression in two zones of Arabidopsis root apex, revealing 4180 differentially expressed genes and identifying novel transcriptionally active regions using RNA-Seq that were missed in microarrays. However, microarrays detected spaceflight-relevant genes not detected in RNA-Seq.",Arabidopsis; gene expression; microarray; RNA-Seq; root apex; spaceflight; transcriptome analysis.
Spaceflight-induced alternative splicing during seedling development in Arabidopsis thaliana.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6447593/,"Spaceflight triggers alternative splicing in Arabidopsis thaliana, a previously unstudied aspect of the molecular response to spaceflight.",spaceflight; Arabidopsis thaliana; alternative splicing; transcriptional re-programming; microgravity; ionizing radiation; International Space Station.
The Plant Health Monitoring System of the EDEN ISS Space Greenhouse in Antarctica during the 2018 experiment phase,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7264257/,"The EDEN ISS greenhouse in Antarctica produced over 268 kg of edible biomass in 2018, with the majority being cucumbers, lettuces, leafy greens, and tomatoes. The greenhouse, which focuses on multidisciplinary research for future space exploration missions, grew 26 different crops in its 12.5 m2 cultivation area, with environmental set points of 330-600 μmol/(m2*s) LED light, 21°C, 45-65% relative humidity, 1000 ppm, and a 17-hour photoperiod.",EDEN ISS greenhouse; Antarctica; space exploration; multidisciplinary research; crops; biomass production; lettuce; leafy greens; cucumbers; tomatoes; environmental set points; LED light; temperature; relative humidity; photoperiod.
Root skewing-associated genes impact the spaceflight response of Arabidopsis thaliana.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7064724/,"The APEX-03-2 spaceflight study investigated the impact of two skewing- and cell wall-associated genes, SPIRAL1 and SKU5, on Arabidopsis root behavior and gene expression patterns in spaceflight. The results showed that sku5 and spr1 mutants exhibited distinct skewing behaviors and gene expression patterns, with sku5 having a more complex and deeper response to spaceflight.",spaceflight; Arabidopsis thaliana; root skewing; SPIRAL1; SKU5; gene expression; cell wall; microgravity.
Articular cartilage and sternal fibrocartilage respond differently to extended microgravity.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6379395/,"Articular cartilage and sternal fibrocartilage respond differently to extended microgravity, with articular cartilage showing evidence of degradation and sternal fibrocartilage remaining stable.",articular cartilage; fibrocartilage; microgravity; cartilage; spaceflight; gene expression; proteoglycan; mechano-responsive proteins; loading; unloading; biomechanical environments.
Host-microbe interactions in microgravity: assessment and implications.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4187166/,"Microgravity in spaceflight affects host-microbe interactions, impacting host health through metabolic and immune responses; understanding these interactions is crucial for maintaining health during long-term space missions.",microgravity; host-microbe interactions; microbiomes; health; spaceflight; metabolic responses; immune responses; long-term space missions.
Environmental cues and symbiont microbe-associated molecular patterns function in concert to drive the daily remodelling of the crypt-cell brush border of the Euprymna scolopes light organ,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5219934/,Daily symbiont expulsion and microvillar density increase in squid light organ depend on environmental cues and symbiont presence.,microbiota; circadian rhythms; brush border; symbionts; microbe-associated molecular patterns; squid; light organ; daily rhythm; ultrastructural analyses; environmental cues; symbiont colonization; phosphorylated lipid A.
Symbiotic organs shaped by distinct modes of genome evolution in cephalopods.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6386654/,"Cephalopod Euprymna scolopes has specialized symbiotic organs, the light organ and accessory nidamental gland, shaped by distinct genome evolution processes.",cephalopods; symbiotic organs; genome evolution; light organ; accessory nidamental gland; subfunctionalization; orphan genes; evolutionary strategies.
Modeled microgravity alters lipopolysaccharide and outer membrane vesicle production of the beneficial symbiont Vibrio fischeri,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7940393/,"Modeled microgravity increases LPS shedding and OMV production in Vibrio fischeri, affecting its outer membrane integrity.",microgravity; Vibrio fischeri; lipopolysaccharides; outer-membrane vesicles; symbiotic microbes; host health; spaceflight.
Emergence of novel cephalopod gene regulation and expression through large-scale genome reorganization,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9023564/,"The unique genomic organization of coleoid cephalopods, including extensive restructuring and the emergence of hundreds of tightly linked and evolutionary unique gene clusters, contributes to complex expression patterns and cephalopod innovations.",cephalopods; genome; reorganization; gene clusters; microsyntenies; nervous system; expression patterns; innovations.
Modeled microgravity alters apoptotic gene expression and caspase activity in the squid-vibrio symbiosis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9389742/,Modeled microgravity accelerates apoptosis gene expression and caspase activity in the squid-vibrio symbiosis.,microgravity; apoptosis; caspases; gene expression; squid-vibrio symbiosis; spaceflight.
In vitro generation of mechanically functional cartilage grafts based on adult human stem cells and 3D-woven poly(epsilon-caprolactone) scaffolds,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2824534/,"Researchers engineered mechanically functional cartilage constructs using adult human mesenchymal stem cells (hMSC) and 3D-woven poly(epsilon-caprolactone) (PCL) scaffolds in vitro. They found that tightly woven PCL cultured in bioreactors produced cartilage with normal articular cartilage-like mechanical properties, while loosely woven PCL cultured statically had the lowest aggregate moduli. Constructs cultured in bioreactors had higher collagen content and more homogenous matrix, while chondrogenic additives yielded constructs with higher glycosaminoglycans and earlier collagen II mRNA expression if serum was absent.",stem cells; cartilage; 3D-woven poly(epsilon-caprolactone) scaffolds; adult human mesenchymal stem cells (hMSC); in vitro; bioreactors; chondrogenic additives; serum; collagen; glycosaminoglycans (GAG); mechanical properties.
Microbiome metadata standards: Report of the National Microbiome Data Collaborative's workshop and follow-on activities.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8269219/,The National Microbiome Data Collaborative established metadata standards for microbiome research.,microbiome; metadata; standards; research; collaboration
Spaceflight alters host-gut microbiota interactions,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11362537/,"Spaceflight alters gut microbiota and host gene expression, contributing to symptoms of liver disease, insulin resistance, osteopenia, and myopathy.",spaceflight; microbiome; host-gut interactions; liver disease; insulin resistance; osteopenia; myopathy; gene expression; bile acid metabolism; butyrate metabolising bacteria; fatty acid metabolism; extracellular matrix interactions; antibiotic resistance genes.
Asparagine biosynthesis as a mechanism of increased host lethality induced by Serratia marcescens in simulated microgravity environments,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9111996/,"Simulated microgravity increases asparagine synthesis in Serratia marcescens, leading to increased host mortality.",Serratia marcescens; asparagine; microgravity; host mortality; Drosophila melanogaster; bacterial growth; aspartate; glutamine; asparagine biosynthesis; countermeasure; L-asparaginase.
Comparative genomic analysis of Cohnella hashimotonis sp. nov. isolated from the International Space Station.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10308117/,"A new bacterial strain, Cohnella hashimotonis, was isolated from the ISS and identified as a novel species within the genus Cohnella. It is closely related to C. rhizosphaerae and C. ginsengisoli but has distinct fatty acid profiles and metabolic capabilities.",Cohnella hashimotonis; bacterial strain; International Space Station; novel species; phylogenetic analysis; fatty acids; metabolic capabilities; gene clusters; WGSs; C. rhizosphaerae; C. ginsengisoli.
Characterization of metagenome-assembled genomes from the International Space Station,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10233975/,"Researchers analyzed 46 metagenome-assembled genomes (MAGs) from International Space Station (ISS) samples, identifying 18 bacterial species and four fungal genomes. Phylogenetic analyses showed ISS-specific evolution, and genes related to cell membranes were enriched. Variations in antimicrobial resistance (AMR) and virulence genes were characterized, with AMR genes more prevalent in Enterobacter bugandensis MAG. Comparative analyses with related ISS isolates and type strains will help understand microbial evolution under microgravity.",metagenome-assembled genomes; International Space Station; microbial diversity; phylogenetic affiliation; predicted functional pathways; antimicrobial resistance; virulence characteristics; bacteria; fungi; spaceflight; evolution.
Biocontrol in built environments to reduce pathogen exposure and infection risk.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10848226/,"The built environment's microbiome, comprising bacteria, archaea, fungi, and viruses, can host antibiotic-resistant pathogens, increasing infection risk. Studies on microbial composition and ecology inform in vitro research to develop biocontrol techniques, such as using Bacillus-based cleaning products or integrating bacilli into printable materials, to reduce pathogen accumulation.",microbiome; built environment; antibiotic-resistant pathogens; biocontrol; Bacillus; microbial ecology; infection risk; hospital-acquired infections; home-acquired infections; multidrug-resistant infections.
"Calcium, mechanical signaling, and tip growth",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12008199/,"The OsEIL1/2-OsERF82 ethylene signaling module in rice roots is crucial for gravitropic growth, but it's impeded by gentle mechanical resistance. Calcium signaling is required to antagonize ethylene signaling.",rice; root gravitropism; ethylene; auxin; mechanosensing; calcium signaling; OsEIL1/2; OsERF82; OsPIN2; OsEBF1; OsCRW1.
Gravitropism and mechanical signaling in plants.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12008199/,"Plant root gravitropism relies on gravity perception and phytohormone signaling, specifically ethylene and auxin. A rice mutant with impaired root coiling in hydroponics but normal gravitropic growth in soil was identified, and the causative gene was found to be OsEBF1. The ethylene signaling module OsEIL1/2-OsERF82 controls root cap stability, OsPIN2 polarization, and auxin distribution, which impact gravitropic growth. Mechanical resistance to root tips impedes the ethylene signaling pathway and requires calcium signaling for antagonization.",plant roots; gravitropism; phytohormones; ethylene; auxin; rice mutant; OsEBF1; OsEIL1/2; OsERF82; mechanosensing; calcium signaling.
Gravitropic signaling in plants,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12008199/,"Gravitropic growth in plants depends on ethylene signaling and root cap stability. The OsEIL1/2-OsERF82 module regulates reactive oxygen species production, impacting root cap stability and gravitropic growth. Mechanical resistance to root tips impedes this ethylene signaling pathway and requires calcium signaling for antagonism.",gravitropic signaling; plants; ethylene; auxin; mechanosensing; root cap; phytohormones; calcium signaling.
Real-time In Vivo Recording of Arabidopsis Calcium Signals During Insect Feeding Using a Fluorescent Biosensor,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5614317/,"This study uses a genetically-encoded calcium sensor to detect calcium signals in Arabidopsis plants during insect feeding, revealing a rapid localized calcium elevation around the feeding site.",calcium; Arabidopsis; calcium sensor; insect feeding; plant defense; signaling molecules; fluorescent biosensors; hemipterans; aphids; real-time imaging; cytosolic calcium dynamics; biotic stresses; molecular analysis.
"Orchestrating rapid long-distance signaling in plants with Ca2+ , ROS, and electrical signals",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5677518/,"Plants respond rapidly to environmental stresses through a network of signaling molecules, including reactive oxygen species (ROS), calcium (Ca2+), and electrical signals. The molecular components underlying this rapid communication are being identified, such as ROS-producing NADPH oxidase RBOHD, ion channel TPC1, and glutamate receptor-like channels GLR3.3 and GLR3.6. The role of the cell wall and plasmodesmata in signal transmission is an open question.",plants; signaling; reactive oxygen species (ROS); calcium (Ca2+); electrical signals; cell wall; plasmodesmata; stress response.
"Glutamate triggers long-distance, calcium-based plant defense signaling.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11850895/,A glutamate-deficient mutant in Arabidopsis shows impaired long-distance defense signaling despite high glutamate levels.,glutamate; Arabidopsis; defense signaling; calcium; signaling molecules; herbivory; pathogen invasion.
Test of Arabidopsis Space Transcriptome: A discovery environment to explore multiple plant biology spaceflight experiments.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7076552/,"TOAST is a database that links plant biology, spaceflight-related omics datasets, and metadata to help visualize relationships across multiple plant spaceflight experiments, revealing patterns of gene expression and new insights into spaceflight responsive gene expression.",TOAST; database; plant biology; spaceflight; omics; gene ontology; Kyoto Encyclopedia of Genes and Genomes; NASA; GeneLab; data repositories; analytical tools; mitochondrial function; gene expression; spaceflight experiments.
Tonoplast-localized Ca2+ pumps regulate Ca2+ signals during pattern-triggered immunity in Arabidopsis thaliana.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7414185/,Tonoplast Ca2+ pumps regulate Ca2+ signals during plant immune responses. Their absence disrupts Ca2+ signaling and immune function.,Ca2+; immune response; plants; tonoplast; Ca2+ pumps
Rad-Bio-App: A discovery environment for biologists to explore spaceflight-related radiation exposures,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8113475/,Rad-Bio-App is a database that simplifies access to radiation exposure data for spaceflight research.,radiation; spaceflight; database; GeneLab; data repository; biological systems; radiation biologists; non-specialist researchers.
Meta-analysis of the space flight and microgravity response of the Arabidopsis plant transcriptome,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10027818/,Spaceflight affects Arabidopsis transcriptome through multiple stressors and factors; standardized analysis of 15 experiments reveals confounding effects of analysis type and environmental/hardware conditions.,spaceflight; Arabidopsis; transcriptome; microarray; RNA-seq; metadata; analysis; stressors; factors; confounding effects.
"Low-dose, ionizing radiation and age-related changes in skeletal microarchitecture",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3337602/,"Exposure to 100cGy of ionizing radiation accelerates bone loss in mice, mimicking age-related changes.",ionizing radiation; bone loss; aging; mice; microarchitecture; osteoporosis; radiation dose.
Ionizing Radiation Stimulates Expression of Pro-Osteoclastogenic Genes in Marrow and Skeletal Tissue,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4490751/,Ionizing radiation triggers rapid bone loss by stimulating osteoclastogenesis through increased expression of Rankl and other pro-osteoclastic cytokines in marrow and mineralized tissue.,ionizing radiation; bone loss; osteoclastogenesis; Rankl; cytokines; marrow; mineralized tissue; Nfe2l2; Nfatc1; Csf1; Tnf.
Preservation of Multiple Mammalian Tissues to Maximize Science Return from Ground Based and Spaceflight Experiments,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5132293/,"This study optimizes methods for preserving rodent tissues for up to 11 months at -80°C, maintaining RNA quality and enzyme activities in livers and spleens. Tissues from frozen carcasses had variable results, with minimal RNA degradation in some tissues but significant degradation in others.",rodent tissues; RNA quality; enzyme activities; preservation; storage; -80°C; spaceflight experiments; ground-based experiments.
Hindlimb Unloading: Rodent Analog for Microgravity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11747068/,"Hindlimb unloading in rats leads to vascular remodeling, with increased ECs and decreased SMCs in conductive arteries. Dysregulated genes involve ECM remodeling, inflammation, and vasoconstriction, particularly in fibroblasts. Enhanced cell communication between SMCs and fibroblasts plays a role in this process.",hindlimb unloading; vascular remodeling; rats; ECs; SMCs; fibroblasts; gene expression; cell communication; transcription factors.
Redox Signaling and Its Impact on Skeletal and Vascular Responses to Spaceflight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5666834/,"Spaceflight exposes organisms to environmental challenges that can lead to musculoskeletal and vascular dysfunction, affecting redox signaling and oxidative stress.",spaceflight; musculoskeletal; vascular; redox signaling; oxidative stress; environmental stressors; radiation; bone; vasculature; interventions.
Influence of social isolation during prolonged simulated weightlessness by hindlimb unloading,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6753329/,"In a 30-day hindlimb unloading (HU) experiment, musculoskeletal deficits were observed in both singly and socially housed mice. However, immune and HPA axis responses differed between the two groups, with a reduction in % CD4+ T cells in singly housed but not socially housed mice, and an increase in adrenal gland mass in socially housed mice.",hindlimb unloading; mice; musculoskeletal; immune system; HPA axis; social housing; stressors; spaceflight.
Validation of a new Rodent experimental System to investigate consequences of Long Duration Space Habitation,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7012842/,"NASA's Rodent Research-1 mission launched ten female mice to the International Space Station for 21 or 37 days in microgravity. Mice appeared healthy and showed increased thymus weight, elevated liver mass, and select enzyme activities compared to ground controls. Physical activity levels were higher for 37-day mice, while soleus muscle atrophied. RNA and enzyme activity levels in recovered tissues were of acceptable quality, establishing a new capability for long-duration experiments in space.",space station; microgravity; mice; health; thymus; liver; enzyme activities; physical activity; muscle atrophy; RNA; enzyme activity levels; sample recovery; long-duration experiments.
Overexpression of catalase in mitochondria mitigates changes in hippocampal cytokine expression following simulated microgravity and isolation.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8260663/,Simulated microgravity and isolation each alter hippocampal cytokine expression; combined effects are not additive. Overexpressing catalase in mitochondria protects mice from these changes.,microgravity; isolation; cytokines; hippocampus; mitochondria; catalase; ROS; spaceflight; bedrest; confinement.
An extensive allelic series of Drosophila kae1 mutants reveals diverse and tissue-specific requirements for t6A biogenesis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4647464/,"The Drosophila gene Kae1, responsible for t6A RNA modification, is essential for tissue growth. Loss of Kae1 results in tissue overgrowth in some areas and insufficient growth in others.",Drosophila; Kae1; t6A; RNA modification; tissue growth; development; disease.
Novel Organelles with Elements of Bacterial and Eukaryotic Secretion Systems Weaponize Parasites of Drosophila,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5659752/,"Parasitic wasps, L. heterotoma and L. boulardi, have distinct methods to overcome Drosophila's immune response. L. heterotoma uses spiked virus-like particles (VLPs) with bacterial secretion system proteins to breach immune barriers.",parasitic wasps; Drosophila; immune response; VLPs; bacterial secretion systems; eukaryotic vesicular transport system; MSEVs.
A combined computational strategy of sequence and structural analysis predicts the existence of a functional eicosanoid pathway in Drosophila melanogaster.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6372189/,"This study identifies potential eicosanoid synthesis enzymes in Drosophila melanogaster using computational methods, challenging the belief that insects lack eicosanoid biosynthesis pathways.",Drosophila melanogaster; eicosanoids; bioinformatics; enzymes; sequence analysis; structural conservation; cyclooxygenases; lipoxygenases; genetics; human development; health.
Immune suppressive extracellular vesicle proteins of Leptopilina heterotoma are encoded in the wasp genome.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6945029/,"Leptopilina heterotoma wasps introduce immune-suppressing extracellular vesicles during oviposition, which are encoded in their genome.",Leptopilina heterotoma; wasps; extracellular vesicles; immune system; genome; proteomics; evolution.
Spaceflight and simulated microgravity conditions increase virulence of Serratia marcescens in the Drosophila melanogaster infection model.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7000411/,"Spaceflight and simulated microgravity conditions enhance Serratia marcescens virulence towards Drosophila melanogaster, possibly due to complex physiological changes in the bacteria.",Serratia marcescens; Drosophila melanogaster; spaceflight; microgravity; virulence; immune system; bacteria; in vitro; host; physiological changes.
A parasitoid wasp of Drosophila employs preemptive and reactive strategies to deplete its host's blood cells,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8191917/,"A parasitoid wasp, Leptopilina heterotoma, uses extracellular vesicles (EVs) to suppress host immune system and disrupt hematopoietic cells, enabling its success.",parasitoid wasp; Leptopilina heterotoma; extracellular vesicles (EVs); immune system; hematopoiesis; phagocytosis; cellular immunity; host success.
In Silico Analysis of a Drosophila Parasitoid Venom Peptide Reveals Prevalence of the Cation‚ÄìPolar‚ÄìCation Clip Motif in Knottin Proteins,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9865768/,"In silico analysis reveals that a Drosophila parasitoid venom peptide, LhKNOT, contains both the knottin motif and a Cation-Polar-Cation (CPC) clip, which is prevalent in many knottin proteins.",Drosophila; parasitoid; venom; knottin protein; CPC clip; immunity; heparin binding; drug development.
Drosophila parasitoids go to space: Unexpected effects of spaceflight on hosts and their parasitoids.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10797188/,"Spaceflight affects Drosophila flies and their parasitoid wasps differently; flies exhibit immune system dysfunction and tumor growth, while wasps remain resilient.",Drosophila; parasitoids; spaceflight; immune system; tumors; genes; wasps; host-parasite interactions; microgravity.
Drosophila parasitoids go to space: Unexpected effects of spaceflight on hosts and their parasitoids,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10797188/,"Spaceflight affects Drosophila flies and their parasitoid wasps differently; flies exhibit immune system dysfunction and tumor growth, while wasps remain resilient.",Drosophila; flies; parasitoids; spaceflight; immune system; tumors; genes; wasps; virulence; Earth.
Simultaneous exposure of cultured human lymphoblastic cells to simulated microgravity and radiation increases chromosome aberrations,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7555395/,"Simultaneous exposure to microgravity and radiation increases chromosome aberrations in human lymphoblastic cells, potentially underestimating health risks for astronauts.",microgravity; radiation; chromosome aberrations; astronauts; health risks; space travel; Moon; Mars; cellular responses; molecular responses
Genes required for survival in microgravity revealed by genome-wide yeast deletion collections cultured during spaceflight.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4309212/,Spaceflight affects yeast cell fitness similarly to DNA-damaging agents and redox state changes.,spaceflight; yeast; genome-wide; deletion collection; DNA damage; redox state; microgravity; cell fitness.
Physical Forces Modulate Oxidative Status and Stress Defense Meditated Metabolic Adaptation of Yeast Colonies: Spaceflight and Microgravity Simulations,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6560652/,Physical factors like colony rotation and microgravity affect yeast colonies' redox responses and apoptosis through ammonia convection and shear stress.,yeast; colonies; redox responses; apoptosis; ammonia convection; shear stress; microgravity; drug action; cell aging; colony differentiation.
Effects of space flight on mouse liver versus kidney: Gene pathway analyses.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6321533/,"Spaceflight alters gene expression in liver and kidney, particularly in areas of cellular responses, apoptosis, fat cell differentiation, and protein kinase regulation.",spaceflight; gene expression; liver; kidney; transcriptome; tissue-specific; countermeasures; hormones; nitrogen/organonitrogen compounds; apoptosis; fat cell differentiation; protein kinase regulation.
Yeast in Space,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12040010/,A severely obese patient with Cryptococcus albidus meningitis was successfully treated with liposomal-AmB using ideal bodyweight dosing.,Cryptococcus albidus; liposomal-AmB; meningitis; severely obese patients; ideal bodyweight dosing; central nervous system infections.
